ein,strein,name,sub_name,address,city,state,zipcode,subseccd,ntee_code,ntee_letter,guidestar_url,nccs_url,updated,num_years_with_data,first_filing_year,last_filing_year,revenue_amount,income_amount,asset_amount,latest_liabilities,rev_growth_first_to_last_pct,exp_growth_first_to_last_pct,yr1_tax_year,yr1_formtype,yr1_totrevenue,yr1_totfuncexpns,yr1_totassetsend,yr1_totliabend,yr1_pct_compnsatncurrofcr,yr1_totcntrbs,yr1_prgmservrev,yr1_duesassesmnts,yr1_othrinvstinc,yr1_invstmntinc,yr1_grsrevnuefndrsng,yr1_direxpns,yr1_netincfndrsng,yr1_totexcessyr,yr1_totnetassetsend,yr1_compnsatncurrofcr,yr1_rev_minus_exp,yr1_rev_exp_ratio,yr1_assets_liab_ratio,yr1_margin_pct,yr1_debt_assets_ratio,yr1_contrib_share,yr1_program_share,yr1_officer_comp_to_rev,yr1_net_assets_to_exp,yr1_fundraising_efficiency,yr1_log_revenue,yr1_log_assets,yr2_tax_year,yr2_formtype,yr2_totrevenue,yr2_totfuncexpns,yr2_totassetsend,yr2_totliabend,yr2_pct_compnsatncurrofcr,yr2_totcntrbs,yr2_prgmservrev,yr2_duesassesmnts,yr2_othrinvstinc,yr2_invstmntinc,yr2_grsrevnuefndrsng,yr2_direxpns,yr2_netincfndrsng,yr2_totexcessyr,yr2_totnetassetsend,yr2_compnsatncurrofcr,yr2_rev_minus_exp,yr2_rev_exp_ratio,yr2_assets_liab_ratio,yr2_margin_pct,yr2_debt_assets_ratio,yr2_contrib_share,yr2_program_share,yr2_officer_comp_to_rev,yr2_net_assets_to_exp,yr2_fundraising_efficiency,yr2_log_revenue,yr2_log_assets,yr3_tax_year,yr3_formtype,yr3_totrevenue,yr3_totfuncexpns,yr3_totassetsend,yr3_totliabend,yr3_pct_compnsatncurrofcr,yr3_totcntrbs,yr3_prgmservrev,yr3_duesassesmnts,yr3_othrinvstinc,yr3_invstmntinc,yr3_grsrevnuefndrsng,yr3_direxpns,yr3_netincfndrsng,yr3_totexcessyr,yr3_totnetassetsend,yr3_compnsatncurrofcr,yr3_rev_minus_exp,yr3_rev_exp_ratio,yr3_assets_liab_ratio,yr3_margin_pct,yr3_debt_assets_ratio,yr3_contrib_share,yr3_program_share,yr3_officer_comp_to_rev,yr3_net_assets_to_exp,yr3_fundraising_efficiency,yr3_log_revenue,yr3_log_assets,yr4_tax_year,yr4_formtype,yr4_totrevenue,yr4_totfuncexpns,yr4_totassetsend,yr4_totliabend,yr4_pct_compnsatncurrofcr,yr4_totcntrbs,yr4_prgmservrev,yr4_duesassesmnts,yr4_othrinvstinc,yr4_invstmntinc,yr4_grsrevnuefndrsng,yr4_direxpns,yr4_netincfndrsng,yr4_totexcessyr,yr4_totnetassetsend,yr4_compnsatncurrofcr,yr4_rev_minus_exp,yr4_rev_exp_ratio,yr4_assets_liab_ratio,yr4_margin_pct,yr4_debt_assets_ratio,yr4_contrib_share,yr4_program_share,yr4_officer_comp_to_rev,yr4_net_assets_to_exp,yr4_fundraising_efficiency,yr4_log_revenue,yr4_log_assets,yr5_tax_year,yr5_formtype,yr5_totrevenue,yr5_totfuncexpns,yr5_totassetsend,yr5_totliabend,yr5_pct_compnsatncurrofcr,yr5_totcntrbs,yr5_prgmservrev,yr5_duesassesmnts,yr5_othrinvstinc,yr5_invstmntinc,yr5_grsrevnuefndrsng,yr5_direxpns,yr5_netincfndrsng,yr5_totexcessyr,yr5_totnetassetsend,yr5_compnsatncurrofcr,yr5_rev_minus_exp,yr5_rev_exp_ratio,yr5_assets_liab_ratio,yr5_margin_pct,yr5_debt_assets_ratio,yr5_contrib_share,yr5_program_share,yr5_officer_comp_to_rev,yr5_net_assets_to_exp,yr5_fundraising_efficiency,yr5_log_revenue,yr5_log_assets
364724966,,Northwestern Memorial Healthcare,,541 N FAIRBANKS CT RM 1630,Chicago,IL,60611-3319,,E22,E,,,,12,2012,2023,9147061001.0,8938053992.0,13337106763.0,3553674409.0,3.851942580916892,4.079710434657454,2023,0,9147061001,8938053992,13337106763,3553674409,0.0,120248004,8929184560,,,3036268,545823,813040,-267217,,,20327753,209007009.0,1.0233839501514617,3.7530469108882283,0.022849635415916694,0.2664501733508392,0.013146080909141628,0.97618071630044,0.002222326165505803,,-0.4895671307365208,9.961281575369,10.125061627695743,2022,0,8405195352,8056257368,12725993747,3207506221,0.0,178726098,8135452131,,,5114487,493918,882432,-388514,,,21850830,348937984.0,1.0433126659267373,3.967566349109818,0.041514559672544776,0.2520436741339851,0.021263764911480906,0.9679075607759889,0.0025996813976251767,,-0.7865961556371706,9.924547811685033,10.104691705506832,2021,0,7740015350,7265438667,12204330471,3144224891,0.0,246752372,7408871016,,,3643366,188290,285749,-97459,,,18475587,474576683.0,1.065319756280588,3.881506855929282,0.06131469532550733,0.2576319035666336,0.031880088196465914,0.9572165791635026,0.002387022010234127,,-0.5176005098518243,9.88874182197665,10.086513959031706,2020,0,6641318149,6473906012,10856787981,2757735820,0.0,331593048,6195701814,,,6998768,98462,366205,-267743,,,36419752,167412137.0,1.0258595254070242,3.9368484472889067,0.025207667099220003,0.2540102859912338,0.04992880036170663,0.9329024261445602,0.005483813782582275,,-2.719252097255794,9.822254285395534,10.035701356702242,2019,0,6481094256,6150079387,11000741502,3142226688,0.0,65076110,6329403735,,,9656671,561096,1149679,-588583,,,27978102,331014869.0,1.0538228611649627,3.5009382181149626,0.051073916830256944,0.2856377170055968,0.01004091399222508,0.9765949213191014,0.004316879356306032,,-1.0489880519554586,9.81164833754064,10.041421959646724
362169147,,Advocate Health And Hospitals Corporation,,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,,E210,E,,,,13,2011,2023,6903058013.0,7524374137.0,16135653689.0,10511310309.0,1.0578117842415873,1.459367325535107,2023,0,6903058013,7524374137,16135653689,10511310309,0.0,17917807,6440081440,,,410577570,0,0,0,,,5421945,-621316124.0,0.9174262054640838,1.5350753821038203,-0.09000592532033237,0.6514338068724028,0.002595633263729896,0.932931669974653,0.0007854410305967684,,,9.839041523195624,10.207786564271993,2022,0,6666293958,6271221841,16608896056,10845528658,0.0,58332013,5868678226,,,635744980,0,0,0,,,1667050,395072117.0,1.0629976306079778,1.5314049300629307,0.05926413078827509,0.6529951552127409,0.008750291146401919,0.8803509510643754,0.00025007148057121426,,,9.823884460468003,10.220340767146125,2021,0,6723535988,6011344908,17320603092,10842453232,0.0,98448310,5700056421,,,691928923,0,0,0,,,3873433,712191080.0,1.1184744996169167,1.597480083278629,0.10592507889763673,0.6259858952029151,0.014642341496454856,0.8477765912420665,0.0005761005826269401,,,9.827597733797079,10.238563009792626,2020,0,5746938919,5871956061,16281554867,10649148789,0.0,711097463,5094113885,,,-84071350,0,0,0,,,2951654,-125017142.0,0.9787094554691356,1.5289066938211975,-0.021753692489523396,0.6540621504512478,0.12373499579907402,0.8864047376871033,0.0005136045539376647,,,9.759436581285042,10.211695877083493,2019,0,5672619246,5701110222,14268789247,8971712438,0.0,28047472,5388961319,,,127831657,450,0,450,,,7627083,-28490976.0,0.9950025565388902,1.5904198162397678,-0.005022543337469754,0.6287648014624853,0.004944360053740156,0.9499952465168504,0.0013445434409119163,,1.0,9.753783634100467,10.154387123384085
363673599,,Feeding America,,161 N CLARK ST STE 700,Chicago,IL,60601-3389,,K310,K,,,,12,2012,2023,4916912461.0,4933690967.0,626129732.0,62229963.0,2.163717752012597,2.1636641221354465,2023,0,4916912461,4933690967,626129732,62229963,0.0,4752844795,101808893,,,5023114,0,0,0,,,7068165,-16778506.0,0.9965991980218812,10.061547553868865,-0.003412406898248417,0.0993882893904805,0.9666319733569891,0.02070585836285036,0.001437521016707806,,,9.691692476331024,8.79666432690755,2022,0,4267241782,4231609823,644823513,66462841,0.0,4152230760,47679794,,,1577662,0,0,0,,,5987410,35631959.0,1.0084204263839096,9.702015491633889,0.008350114856463505,0.10307136706412255,0.9730479246605764,0.01117344562033537,0.0014031100898139828,,,9.63014725069001,8.809440865304435,2021,0,4065318094,3902891407,603767243,38690535,0.0,3916234028,28800662,,,1689896,0,0,0,,,5856188,162426687.0,1.0416170141727954,15.605037330189411,0.03995423808034245,0.06408187169571239,0.9633278226813216,0.007084479328322887,0.0014405239306225861,,,9.609094532971685,8.780869546960924,2020,0,3571430346,3309075710,432594156,32638854,0.0,3478482753,20326823,,,1930894,0,0,0,,,4398170,262354636.0,1.0792833585545252,13.253962777001913,0.0734592615795621,0.07544913297441772,0.9739746868914576,0.005691507612003698,0.0012314869880987454,,,9.55284218444997,8.636080648172662,2019,0,2831620652,2823972605,156975013,18664170,0.0,2756779556,22629765,,,2030183,0,0,0,,,5609967,7648047.0,1.0027082582127245,8.410500600883939,0.0027009433606857308,0.11889898680881142,0.973569518944164,0.00799180673584097,0.0019811859318223392,,,9.452035071129949,8.1958305276968
362177139,,University Of Chicago,,5801 S DREXEL,Chicago,IL,60637-0000,,B430,B,,,,13,2011,2023,4659559211.0,4828941301.0,14662331676.0,6167197542.0,1.0513099070913523,1.352611818762786,2023,0,4659559211,4828941301,14662331676,6167197542,0.0,2415783023,1966181580,,,82636970,88313,237841,-149528,,,21131097,-169382090.0,0.9649235558185552,2.377470735475267,-0.03635152647060117,0.4206150616613565,0.5184574148767052,0.4219672915322891,0.0045349991368529045,,-1.6931595574830434,9.668344834869242,10.166203039438745,2022,0,4613831972,4424487118,14408247538,5809316020,0.0,2192372791,1793229141,,,111249640,143095,386261,-243166,,,20961066,189344854.0,1.0427947576634802,2.480196892094708,0.04103852397509893,0.40319379610036793,0.4751739561182268,0.3886637293864589,0.0045430926239201155,,-1.6993326112023481,9.664061774198517,10.158611161184602,2021,0,4208313004,3761982970,15615348444,5813391481,0.0,1873493993,1747617364,,,77660513,17473,39259,-21786,,,14830893,446330034.0,1.1186422260704705,2.6860995849042495,0.10605913428391935,0.37228701631910893,0.44518884199422537,0.41527741932192075,0.0035241896184773427,,-1.2468379785955475,9.624108034105426,10.19355167960804,2020,0,3705144407,4101909518,12940284083,5716313125,0.0,1727925591,1660417298,,,76986207,256629,740660,-484031,,,17997628,-396765111.0,0.9032730709297913,2.2637465443252816,-0.10708492501679706,0.4417455666610654,0.46635850082806235,0.44813834917285045,0.004857470053258305,,-1.8861118579739624,9.568805139155044,10.111943810670011,2019,0,4490577850,3819615625,12698965590,5035117793,0.0,2445344205,1597016834,,,97523668,484619,597387,-112768,,,14586677,670962225.0,1.1756622369561074,2.522079147314995,0.1494155646360746,0.39649826258014137,0.5445500081910394,0.35563726703902926,0.0032482850731560082,,-0.2326941370437395,9.652302229849433,10.103768346400747
362167817,,Northwestern University,,633 CLARK ST,Evanston,IL,60208-0001,,N500,N,,,,11,2012,2023,3319115351.0,3655717485.0,18481250303.0,3535110269.0,0.4309394082260031,0.74075687460241,2023,0,3319115351,3655717485,18481250303,3535110269,0.0,545275891,2544288705,,,118900288,472140,540121,-67981,,,20886078,-336602134.0,0.9079244675276104,5.2279133878977735,-0.10141320755802802,0.19128090421599653,0.16428350127563854,0.7665562765793734,0.006292664096084318,,-0.14398483500656584,9.52102234594047,10.266731348990449,2021,0,3678521388,3030857470,19369511926,3303710832,0.0,448339219,2126650578,,,78514733,53745,80834,-27089,,,24832681,647663918.0,1.2136899951286724,5.862956206210725,0.17606637278576018,0.17056242019012244,0.12188028061018304,0.5781264681340491,0.006750723560017534,,-0.5040282817006233,9.565673285501088,10.287118677481345,2020,0,3140527328,3013193839,15846964843,3384325428,0.0,361701672,2145444115,,,56312977,277962,244151,33811,,,15733697,127333489.0,1.0422586450801514,4.682458936097324,0.04054525743646068,0.2135630047475584,0.11517227338707622,0.6831477299598266,0.005009890173450514,,0.12163892906224592,9.49700257686697,10.199946094430043,2019,0,3108297108,3029156594,15193337485,3165414208,0.0,351726297,2132184338,,,76107571,579376,483301,96075,,,23239621,79140514.0,1.0261262538083233,4.799794430252333,0.025461051904051124,0.20834225601354106,0.11315723200807996,0.685965422196056,0.007476640807658597,,0.16582495650492945,9.492522524349573,10.18165318479817,2018,0,3143787745,2957646868,15469351745,3227581845,0.0,373724245,2001064987,,,83016433,789898,639071,150827,,,21252276,186140877.0,1.0629354636667192,4.792861184593756,0.059209110823733424,0.20864363925548582,0.11887706019415124,0.6365140236272535,0.006760086152063043,,0.19094490681075277,9.49745321666539,10.18947211463872
370813229,,Osf Healthcare System,,124 SW ADAMS ST,Peoria,IL,61602-1308,,E220,E,,,,13,2011,2023,3396822840.0,3012001625.0,5280991110.0,2760073693.0,0.9252428020881056,0.82326166363359,2023,0,3396822840,3012001625,5280991110,2760073693,0.0,38893374,3230513893,,,59633026,0,0,0,,,17656950,384821215.0,1.1277626186539658,1.9133514889089593,0.11328857380151153,0.5226431242752082,0.011449927132496554,0.9510398525817731,0.005198077978067293,,,9.531072896997564,9.72271543639946,2022,0,3195700977,2895005409,5108469746,2888643077,0.0,82750201,2973514296,,,84126602,0,0,0,,,23650967,300695568.0,1.103867014225672,1.7684669271446996,0.09409377478185751,0.5654615218699975,0.025894225271878433,0.930473256853781,0.007400869846778534,,,9.504566135437202,9.708290825693119,2021,0,3233049540,2635982780,5560746183,2840824840,0.0,84621776,2888963105,,,190020516,0,0,0,,,12809870,597066760.0,1.2265063203485722,1.957440706903985,0.1846760319051591,0.5108711576667192,0.02617398061892983,0.8935721736574441,0.003962163227477176,,,9.509612359354456,9.745133072412235,2020,0,2693493973,2357324579,5141287534,3074244294,0.0,122722047,2452732959,,,78922826,0,0,0,,,14957889,336169394.0,1.1426063245573956,1.6723744251666162,0.12480792508534044,0.5979522198806475,0.04556239896216022,0.9106138657025314,0.0055533404380853245,,,9.43031600809962,9.711071893098234,2019,0,2622268279,2267753617,3826454610,2363576634,0.0,13052556,2515082351,,,58139249,0,0,0,,,14520104,354514662.0,1.1563285620370813,1.618925553314638,0.13519389485777325,0.6176936289334424,0.0049775822346360315,0.9591247284427834,0.005537230540552178,,,9.418677121423116,9.582796566027303
363488183,,University Of Chicago Medical Center,,5841 S MARYLAND AVE MC 1086 OFFICE,Chicago,IL,60637-1443,,E220,E,,,,13,2011,2023,2885062694.0,2733285491.0,4355014169.0,2010430782.0,1.172020839289808,1.37143335772589,2023,0,2885062694,2733285491,4355014169,2010430782,0.0,12254617,2829541247,,,14612107,72665,221360,-148695,,,20273950,151777203.0,1.0555292169441366,2.166209455203218,0.05260793927135366,0.4616358762528747,0.0042476085616737725,0.9807555492241237,0.007027212976051882,,-2.0463084015688433,9.460155255052378,9.638989572319229,2022,0,2646884469,2439164000,4002513648,1658847463,0.0,20433586,2554080885,,,2675550,7850,15393,-7543,,,16238940,207720469.0,1.0851605177019668,2.4128280250442775,0.07847734626607157,0.4144514195045663,0.007719863197398965,0.9649385588653737,0.006135114769907247,,-0.9608917197452229,9.422734985664484,9.60233282147603,2021,0,2471175158,2237776967,4247522232,1875959322,0.0,53926786,2344792254,,,5015822,20082,47680,-27598,,,18601280,233398191.0,1.1042991300928875,2.264186745516223,0.09444825885547366,0.4416596828774409,0.02182232442140793,0.948857164741699,0.007527301308359947,,-1.3742655114032467,9.392903529480126,9.628135660692267,2020,0,2229814021,2091967757,3830593784,1950693977,0.0,128289055,2056740072,,,5191395,60236,247699,-187463,,,17970906,137846264.0,1.0658931111814454,1.9637082131617203,0.06181962383489739,0.5092406261263854,0.05753352243361824,0.922381890431211,0.008059374383133812,,-3.112142240520619,9.348268641962207,9.583266099589176,2019,0,2078533366,1932594122,3515079330,1627363828,0.0,3449029,2021768166,,,7025402,112857,212509,-99652,,,15637159,145939244.0,1.07551468895547,2.159983692349834,0.07021260586297463,0.4629664582847409,0.0016593570526305423,0.972689781685227,0.0075231695847599875,,-0.8829935227766111,9.31775700048206,9.545935130833076
362174823,,Rush University Medical Center,,1700 W VAN BUREN ST STE 265,Chicago,IL,60612-3228,,E22,E,,,,13,2011,2023,2664946106.0,2591162936.0,4544022146.0,1951006762.0,0.8026337386270755,0.9491771830111283,2023,0,2664946106,2591162936,4544022146,1951006762,0.0,92524024,2263128192,,,35942289,1034885,610670,424215,,,32963605,73783170.0,1.0284749248975829,2.329065298237034,0.02768655239739396,0.42935678993497584,0.034718909996598636,0.8492209980924845,0.01236933269524063,,0.4099151113408736,9.42568843058455,9.657440439309951,2022,0,2591581148,2388546504,4341724683,1985773789,0.0,133924201,2137987442,,,40744413,893019,355560,537459,,,34280726,203034644.0,1.0850034293491821,2.186414538781084,0.07834392689447052,0.45736980900131385,0.051676638064508715,0.8249741450889733,0.013227726257561124,,0.6018449775424711,9.413564812086165,9.637662280554414,2021,0,2430858288,2245348373,4534803183,2139745409,0.0,102572764,2002982180,,,29159866,578408,189864,388544,,,26184492,185509915.0,1.0826196581478094,2.119319038576332,0.07631457412214232,0.4718496752012181,0.04219611011730026,0.8239814677341651,0.010771706491184812,,0.6717472787375002,9.385759641470434,9.656558442798117,2020,0,2129968938,2206271524,4025213121,2111950010,0.0,139965950,1784839480,,,54082614,340071,352673,-12602,,,34458012,-76302586.0,0.9654155958729583,1.9059225369638366,-0.03582333274383178,0.5246802955554611,0.06571267190939664,0.8379650276383515,0.016177706343621805,,-0.03705696751560703,9.32837327003331,9.604788879691203,2019,0,2117967270,1997276594,3456334013,1364490844,0.0,75461029,1876582808,,,52750474,654169,811971,-157802,,,38864361,120690676.0,1.0604276224748068,2.5330576809645486,0.05698420259346123,0.39477979815256936,0.035628987316692576,0.8860301264240028,0.01834984022203516,,-0.24122512684031192,9.325919244455024,9.538615705159115
362167000,,The Chicago Community Trust,,33 S STATE STREET SUITE 750,Chicago,IL,60603-2804,,T310,T,,,,13,2011,2023,1536635743.0,1611696826.0,4528410929.0,43161134.0,22.817384444856977,22.76508918775227,2023,0,1536635743,1611696826,4528410929,43161134,0.0,1385908253,0,,,98303269,0,0,0,,,1546561,-75061083.0,0.9534272936515668,104.91871990666418,-0.04884767476087532,0.009531187579200368,0.9019107223773591,0.0,0.001006459082476256,,,9.186570930900185,9.655945829862983,2022,0,1869389592,1506140398,4307117777,36450829,0.0,1634895301,0,,,121957382,0,0,0,,,1248496,363249194.0,1.2411788399556627,118.16240933779585,0.1943143342375044,0.00846292831708651,0.8745610374619011,0.0,0.000667862924530501,,,9.271699820385608,9.634186747593073,2021,0,2005272891,1406260755,4777238560,49799875,0.0,1795465844,0,,,53659050,0,0,0,,,2272405,599012136.0,1.4259609278508238,95.92872592551689,0.29871851292084317,0.010424406144791731,0.8953723216717041,0.0,0.0011332148408323543,,,9.30217348268734,9.67917692910096,2020,0,862303171,606459499,3602504724,60703679,0.0,706731477,0,,,53670903,0,0,0,,,3407866,255843672.0,1.4218643988953332,59.34573955558773,0.2966980530795242,0.016850409270969216,0.8195858495805067,0.0,0.003952050873300105,,,8.935659983161136,9.556604558981041,2019,0,564214027,370211400,3248271849,59817191,0.0,462263453,0,,,58067123,0,0,0,,,2273166,194002627.0,1.5240320179227327,54.30331639946115,0.3438458062298405,0.01841508155126089,0.8193051410967491,0.0,0.004028907278478562,,,8.751443879006466,9.51165236834627
363152959,,Northwestern Memorial Healthcare,,251 E HURON ST,Chicago,IL,60611-2908,,E22,E,,,,13,2011,2023,2057415454.0,1684720180.0,13848071678.0,10912687551.0,72.79233492272235,60.89739873116078,2023,0,2057415454,1684720180,13848071678,10912687551,0.0,89964,1749178725,,,151858684,0,0,0,,,19823158,372695274.0,1.221220875979535,1.2689881950052728,0.18114730949231025,0.7880293953371607,4.3726705670987926e-05,0.8501825538440814,0.009634980607081607,,,9.313321997655542,10.141389302793343,2022,0,2009411319,1556886755,12205294228,10244022580,0.0,5927704,1521064972,,,103160215,0,0,0,,,13296386,452524564.0,1.2906599099431608,1.1914552250040042,0.22520255545549656,0.8393097608822347,0.002949970443557554,0.7569704408537772,0.00661705539043995,,,9.3030688443082,10.086548253237568,2021,0,1940088949,1432403223,12831005133,9781985752,0.0,62608063,1462184071,,,68577823,0,0,0,,,13513919,507685726.0,1.3544293379462746,1.311697385203879,0.2616816750910734,0.762370963973957,0.032270717810268815,0.7536685736773402,0.006965618255268975,,,9.287821641875743,10.10826067871454,2020,0,1513487183,1292087754,10251425251,8981458241,0.0,15667149,1328293986,,,62825736,0,0,0,,,13838726,221399429.0,1.171350148869223,1.1413987546256854,0.14628431048959864,0.8761180051645874,0.010351689248497588,0.8776380804012398,0.009143603035057879,,,9.179978747475648,10.010784249354161,2019,0,1226577935,1113739354,7799373596,7222706682,0.0,0,1007746126,,,72460235,0,0,0,,,12997829,112838581.0,1.1013150703481382,1.0798408324454232,0.09199462812772675,0.926062406563554,0.0,0.8215915982542112,0.010596822777510667,,,9.08869514786661,9.892059723879596
